6.8	-1.84851	2.6871	29.8159
6.85	-0.0801595	2.59038	26.8683
6.9	0.950873	2.53293	24.3707
6.95	1.60185	2.71652	22.2133
7	2.13269	3.20446	20.3625
7.05	2.7205	4.04721	18.8416
7.1	3.49829	5.32476	17.7385
7.15	4.58388	7.13812	17.2442
7.2	6.08097	9.53263	17.7165
7.25	8.02299	12.2835	19.709
7.3	10.2152	14.513	23.7297
7.35	12.0168	14.5813	29.3562
7.4	12.4441	11.4172	34.3388
7.45	11.0019	6.50505	36.1356
7.5	8.33437	2.56335	34.7405
7.55	5.58623	0.597314	31.9198
7.6	3.46898	0.0207837	28.9349
7.65	2.11129	0.0675437	26.1833
7.7	1.357	0.310428	23.7056
7.75	1.00652	0.597455	21.4742
7.8	0.912194	0.914125	19.4643
7.85	0.992857	1.30356	17.6615
7.9	1.22289	1.83805	16.0627
7.95	1.62118	2.61931	14.6836
8	2.24782	3.79227	13.5789
8.05	3.20836	5.55965	12.8892
8.1	4.65735	8.16645	12.94
8.15	6.772	11.7528	14.4145
8.2	9.60712	15.8261	18.4643
8.25	12.6793	18.2407	25.9696
8.3	14.4877	15.5638	34.8728
8.35	13.3783	8.04646	39.627
8.4	9.72235	1.18105	38.3244
8.45	5.56296	-2.06035	34.4587
8.5	2.34411	-2.85529	30.7188
8.55	0.298544	-2.80901	27.6302
8.6	-0.897973	-2.71553	25.0482
8.65	-1.6308	-2.84889	22.8353
8.7	-2.19217	-3.29029	20.9418
8.75	-2.78054	-4.08661	19.3837
8.8	-3.5385	-5.30667	18.2419
8.85	-4.58469	-7.03822	17.6945
8.9	-6.01883	-9.31854	18.0722
8.95	-7.87334	-11.9417	19.882
9	-9.97381	-14.118	23.5957
9.05	-11.7426	-14.3571	28.8767
9.1	-12.2705	-11.5859	33.7384
9.15	-11.0371	-6.98564	35.7517
9.2	-8.56037	-3.08139	34.6617
9.25	-5.90635	-1.00998	32.0279
9.3	-3.80393	-0.339622	29.119
9.35	-2.42996	-0.348791	26.3931
9.4	-1.66201	-0.603711	23.9251
9.45	-1.31654	-0.941717	21.7013
